Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,85.46,86.96,84.21,85.82,85.82,76706000
2023-01-04,86.55,86.98,83.36,85.14,85.14,68885100
2023-01-05,85.33,85.42,83.07,83.12,83.12,67930800
2023-01-06,83.03,86.4,81.43,86.08,86.08,83303400
2023-01-09,87.46,89.48,87.08,87.36,87.36,65266100
2023-01-10,87.57,90.19,87.29,89.87,89.87,67756600
2023-01-11,90.93,95.26,90.93,95.09,95.09,103126200
2023-01-12,96.93,97.19,93.5,95.27,95.27,85254800
2023-01-13,94.18,98.37,94.12,98.12,98.12,85549400
2023-01-17,98.68,98.89,95.73,96.05,96.05,72755000
2023-01-18,97.25,99.32,95.38,95.46,95.46,79570400
2023-01-19,94.74,95.44,92.86,93.68,93.68,69002700
2023-01-20,93.86,97.35,93.2,97.25,97.25,67481500
2023-01-23,97.56,97.78,95.86,97.52,97.52,76501100
2023-01-24,96.93,98.09,96.0,96.32,96.32,66929500
2023-01-25,92.56,97.24,91.52,97.18,97.18,94261600
2023-01-26,98.24,99.49,96.92,99.22,99.22,68523600
2023-01-27,99.53,103.49,99.53,102.24,102.24,87775600
2023-01-30,101.09,101.74,99.01,100.55,100.55,70691900
2023-01-31,101.16,103.35,101.14,103.13,103.13,66527300
2023-02-01,102.53,106.24,101.24,105.15,105.15,80450100
2023-02-02,110.25,114.0,108.88,112.91,112.91,158154200
2023-02-03,105.26,108.78,102.52,103.39,103.39,144374800
2023-02-06,102.93,103.95,100.65,102.18,102.18,81945200
2023-02-07,101.17,102.41,98.08,102.11,102.11,119501300
2023-02-08,102.04,102.67,98.78,100.05,100.05,75878300
2023-02-09,101.32,101.78,97.57,98.24,98.24,64622500
2023-02-10,97.56,98.82,96.23,97.61,97.61,52740100
2023-02-13,97.85,99.68,96.91,99.54,99.54,52841500
2023-02-14,98.41,100.92,97.52,99.7,99.7,56202900
2023-02-15,99.09,101.17,98.45,101.16,101.16,47957600
2023-02-16,99.21,100.63,98.1,98.15,98.15,56339200
2023-02-17,97.8,97.94,95.65,97.2,97.2,60029400
2023-02-21,95.34,95.61,94.27,94.58,94.58,56580400
2023-02-22,95.1,97.01,94.8,95.79,95.79,59534100
2023-02-23,96.12,96.43,93.67,95.82,95.82,48467000
2023-02-24,93.53,94.14,92.32,93.5,93.5,57053800
2023-02-27,94.28,94.78,93.14,93.76,93.76,47470300
2023-02-28,93.14,94.69,92.92,94.23,94.23,43959300
2023-03-01,93.87,94.68,91.59,92.17,92.17,52299500
2023-03-02,91.41,92.23,90.39,92.13,92.13,55509400
2023-03-03,92.74,94.94,92.66,94.9,94.9,55759600
2023-03-06,95.19,96.55,93.74,93.75,93.75,52112400
2023-03-07,94.06,95.09,92.78,93.55,93.55,49100700
2023-03-08,93.6,94.17,92.18,93.92,93.92,44899100
2023-03-09,93.68,96.21,92.18,92.25,92.25,56218700
2023-03-10,92.67,93.57,90.25,90.73,90.73,69827500
2023-03-13,89.97,94.02,88.12,92.43,92.43,72397100
2023-03-14,93.83,95.07,92.71,94.88,94.88,60912700
2023-03-15,93.22,96.67,93.07,96.2,96.2,70731800
2023-03-16,95.75,100.99,95.61,100.04,100.04,84446900
2023-03-17,99.79,100.66,97.46,98.95,98.95,87300200
2023-03-20,98.41,98.48,95.7,97.71,97.71,62388900
2023-03-21,98.14,100.85,98.0,100.61,100.61,58597300
2023-03-22,100.45,102.1,98.61,98.7,98.7,57475400
2023-03-23,100.43,101.06,97.62,98.71,98.71,57559300
2023-03-24,98.07,98.3,96.4,98.13,98.13,56095400
2023-03-27,99.07,99.34,97.08,98.04,98.04,46721300
2023-03-28,98.11,98.44,96.29,97.24,97.24,38720100
2023-03-29,98.69,100.42,98.56,100.25,100.25,49783300
2023-03-30,101.55,103.04,101.01,102.0,102.0,53633400
2023-03-31,102.16,103.49,101.95,103.29,103.29,56750300
2023-04-03,102.3,103.29,101.43,102.41,102.41,41135700
2023-04-04,102.75,104.2,102.11,103.95,103.95,48662500
2023-04-05,103.91,103.91,100.75,101.1,101.1,45175400
2023-04-06,100.75,102.38,99.8,102.06,102.06,43808000
2023-04-10,100.96,102.2,99.57,102.17,102.17,37261200
2023-04-11,100.8,101.0,99.01,99.92,99.92,60417800
